small_id,small_x,small_y,large_id,large_x,large_y
1,2591.8454199441453,99.8476742962474,65,29.5,142.5
3,1907.6807105924663,379.9272852315542,290,141.0,544.0
4,1808.4615917878934,511.5214279429311,325,185.78571428571428,625.5
8,2582.2157060460986,839.6318723394014,110,453.0,220.0
9,1384.637439759371,1015.5476330823884,483,445.0,909.0
10,1325.4009297078942,1044.038013789273,495,422.61290322580646,943.0
13,2122.874444936008,1213.169382200892,276,614.0,514.0
14,1499.486515274934,1376.3756436430358,477,644.0,902.0
17,2430.3924836574884,1656.5166222031069,220,914.9756097560976,396.5853658536585
19,1181.6416871606414,1902.7500401206569,581,906.0,1093.0
20,1868.2994180999344,2023.7907211903073,402,1031.0,758.0
21,2484.3082959463027,2050.697599939163,217,1117.0,388.0
23,2224.6484199264823,2274.236449266185,311,1236.0,590.0
24,2138.646461850126,2507.238224837214,344,1334.0,651.0
25,1421.830014642444,2583.6028374319562,557,1335.0,1043.0
26,2309.9038025572363,2778.662079936734,308,1550.8695652173913,584.8695652173913
28,2437.934792848262,3022.687904611305,292,1634.0,548.0
29,2839.7730931535966,3230.3942929110576,166,1823.0,317.0
31,1909.8712146588737,3362.6053319017783,439,1820.0,842.0
33,1301.3713556625344,3540.591167541105,654,1827.0,1224.0
34,1392.7686664229393,3733.998023389002,630,1951.0,1178.0
